kind,name,cat,t_start_ms,t_end_ms,dur_ms
span,wsm.wait_group_ready,wsm,70997.804894,70997.812661,0.007767
span,wsm.wait_group_ready,wsm,71493.615168,71493.618013,0.002845
span,wsm.wait_group_ready,wsm,71547.68608,71547.693284,0.007204
span,wsm.wait_group_ready,wsm,72039.39057,72039.393919,0.003349
span,wsm.wait_group_ready,wsm,72093.940774,72093.947734,0.00696
span,wsm.wait_group_ready,wsm,72592.159241,72592.163162,0.003921
span,wsm.wait_group_ready,wsm,72646.417224,72646.424749,0.007525
span,wsm.wait_group_ready,wsm,73152.802823,73152.806768,0.003945
span,wsm.wait_group_ready,wsm,73204.262346,73204.270742,0.008396
span,wsm.wait_group_ready,wsm,73701.790859,73701.793501,0.002642
span,wsm.wait_group_ready,wsm,73756.114947,73756.122893,0.007946
span,wsm.wait_group_ready,wsm,74258.464828,74258.468131,0.003303
span,wsm.wait_group_ready,wsm,74309.727727,74309.734652,0.006925
span,wsm.wait_group_ready,wsm,74808.624416,74808.627504,0.003088
span,wsm.wait_group_ready,wsm,74863.103384,74863.109628,0.006244
span,wsm.wait_group_ready,wsm,75362.588132,75362.592051,0.003919
span,wsm.wait_group_ready,wsm,75426.378627,75426.384312,0.005685
span,wsm.wait_group_ready,wsm,75932.275432,75932.278478,0.003046
span,wsm.wait_group_ready,wsm,75974.598375,75974.606008,0.007633
span,wsm.wait_group_ready,wsm,76480.342235,76480.345393,0.003158
span,wsm.wait_group_ready,wsm,76799.202211,76799.20944,0.007229
span,wsm.wait_group_ready,wsm,77037.27472,77037.278606,0.003886
span,wsm.wait_group_ready,wsm,77050.547871,77050.552353,0.004482
span,wsm.wait_group_ready,wsm,77606.053165,77606.056106,0.002941
span,wsm.wait_group_ready,wsm,77660.286851,77660.294259,0.007408
span,wsm.wait_group_ready,wsm,78151.344761,78151.348167,0.003406
span,wsm.wait_group_ready,wsm,78205.542199,78205.549422,0.007223
span,wsm.wait_group_ready,wsm,78698.650482,78698.653862,0.00338
span,wsm.wait_group_ready,wsm,78753.107273,78753.114288,0.007015
span,wsm.wait_group_ready,wsm,79260.198308,79260.202068,0.00376
span,wsm.wait_group_ready,wsm,79302.636592,79302.64642,0.009828
span,wsm.wait_group_ready,wsm,79811.004227,79811.00781,0.003583
span,wsm.wait_group_ready,wsm,79864.02033,79864.02924,0.00891
span,wsm.wait_group_ready,wsm,80357.98912,80357.992634,0.003514
span,wsm.wait_group_ready,wsm,80412.060226,80412.067377,0.007151
span,wsm.wait_group_ready,wsm,80905.260274,80905.263296,0.003022
span,wsm.wait_group_ready,wsm,80959.400861,80959.408259,0.007398
span,wsm.wait_group_ready,wsm,81453.074725,81453.078424,0.003699
span,wsm.wait_group_ready,wsm,81507.1921,81507.198702,0.006602
span,wsm.wait_group_ready,wsm,81999.560781,81999.563867,0.003086
span,wsm.wait_group_ready,wsm,82053.572232,82053.580195,0.007963
span,wsm.wait_group_ready,wsm,82548.366471,82548.369902,0.003431
span,wsm.wait_group_ready,wsm,82562.174794,82562.178264,0.00347
span,wsm.wait_group_ready,wsm,83118.859833,83118.863324,0.003491
span,wsm.wait_group_ready,wsm,83434.153949,83434.160271,0.006322
span,wsm.wait_group_ready,wsm,83675.4139,83675.418356,0.004456
span,wsm.wait_group_ready,wsm,83728.808064,83728.815654,0.00759
span,wsm.wait_group_ready,wsm,84222.925719,84222.928883,0.003164
span,wsm.wait_group_ready,wsm,84277.037008,84277.0449,0.007892
span,wsm.wait_group_ready,wsm,84770.355997,84770.359119,0.003122
span,wsm.wait_group_ready,wsm,84824.133794,84824.141196,0.007402
span,wsm.wait_group_ready,wsm,85320.43957,85320.442886,0.003316
span,wsm.wait_group_ready,wsm,85374.580448,85374.587974,0.007526
span,wsm.wait_group_ready,wsm,85874.615348,85874.618367,0.003019
span,wsm.wait_group_ready,wsm,86190.842033,86190.848358,0.006325
span,wsm.wait_group_ready,wsm,86456.240516,86456.244041,0.003525
span,wsm.wait_group_ready,wsm,86510.719941,86510.727246,0.007305
span,wsm.wait_group_ready,wsm,87000.355582,87000.359235,0.003653
span,wsm.wait_group_ready,wsm,87054.339295,87054.347317,0.008022
span,wsm.wait_group_ready,wsm,87544.761509,87544.764839,0.00333
span,wsm.wait_group_ready,wsm,87586.13947,87586.146012,0.006542
span,wsm.wait_group_ready,wsm,88091.207314,88091.211519,0.004205
span,wsm.wait_group_ready,wsm,88145.955915,88145.962948,0.007033
span,wsm.wait_group_ready,wsm,88638.718997,88638.721628,0.002631
span,wsm.wait_group_ready,wsm,88693.986615,88693.994214,0.007599
span,wsm.wait_group_ready,wsm,89186.291363,89186.294886,0.003523
span,wsm.wait_group_ready,wsm,89240.427884,89240.434769,0.006885
span,wsm.wait_group_ready,wsm,89728.98126,89728.984358,0.003098
span,wsm.wait_group_ready,wsm,89783.563112,89783.571414,0.008302
span,wsm.wait_group_ready,wsm,90281.928728,90281.932433,0.003705
span,wsm.wait_group_ready,wsm,90595.803773,90595.809046,0.005273
span,wsm.wait_group_ready,wsm,90837.429192,90837.432429,0.003237
span,wsm.wait_group_ready,wsm,90852.250445,90852.254445,0.004
span,wsm.wait_group_ready,wsm,91421.293578,91421.29654,0.002962
span,wsm.wait_group_ready,wsm,91475.196845,91475.204321,0.007476
span,wsm.wait_group_ready,wsm,91972.284344,91972.288093,0.003749
span,wsm.wait_group_ready,wsm,92026.412132,92026.420243,0.008111
span,wsm.wait_group_ready,wsm,92523.756432,92523.760092,0.00366
span,wsm.wait_group_ready,wsm,92577.689147,92577.696357,0.00721
span,wsm.wait_group_ready,wsm,93078.281495,93078.284982,0.003487
span,wsm.wait_group_ready,wsm,93132.18265,93132.190476,0.007826
span,wsm.wait_group_ready,wsm,93632.014672,93632.018406,0.003734
span,wsm.wait_group_ready,wsm,93673.94682,93673.961152,0.014332
span,wsm.wait_group_ready,wsm,94181.4307,94181.433969,0.003269
span,wsm.wait_group_ready,wsm,94235.759266,94235.766186,0.00692
span,wsm.wait_group_ready,wsm,94733.922012,94733.925245,0.003233
span,wsm.wait_group_ready,wsm,95047.725675,95047.733351,0.007676
span,wsm.wait_group_ready,wsm,95290.063935,95290.067318,0.003383
span,wsm.wait_group_ready,wsm,95302.561101,95302.565251,0.00415
span,wsm.wait_group_ready,wsm,95836.169692,95836.173092,0.0034
span,wsm.wait_group_ready,wsm,95850.006427,95850.009914,0.003487
span,wsm.wait_group_ready,wsm,96415.75423,96415.757571,0.003341
span,wsm.wait_group_ready,wsm,96469.853495,96469.861741,0.008246
span,wsm.wait_group_ready,wsm,96970.279956,96970.283132,0.003176
span,wsm.wait_group_ready,wsm,97025.392908,97025.399851,0.006943
span,wsm.wait_group_ready,wsm,97530.17022,97530.174013,0.003793
span,wsm.wait_group_ready,wsm,97542.544413,97542.548572,0.004159
span,wsm.wait_group_ready,wsm,98107.017719,98107.022347,0.004628
span,wsm.wait_group_ready,wsm,98120.328643,98120.333243,0.0046
span,wsm.wait_group_ready,wsm,98682.506939,98682.510638,0.003699
span,wsm.wait_group_ready,wsm,98736.465392,98736.473623,0.008231
span,wsm.wait_group_ready,wsm,99229.301556,99229.304877,0.003321
span,wsm.wait_group_ready,wsm,99283.727969,99283.734808,0.006839
span,wsm.wait_group_ready,wsm,99778.352802,99778.355911,0.003109
span,wsm.wait_group_ready,wsm,100094.294133,100094.300388,0.006255
span,wsm.wait_group_ready,wsm,100330.135038,100330.137999,0.002961
span,wsm.wait_group_ready,wsm,100355.618753,100355.631195,0.012442
span,wsm.wait_group_ready,wsm,100877.679004,100877.681894,0.00289
span,wsm.wait_group_ready,wsm,101188.889364,101188.895115,0.005751
span,wsm.wait_group_ready,wsm,101435.158816,101435.161814,0.002998
span,wsm.wait_group_ready,wsm,101489.605697,101489.613711,0.008014
span,wsm.wait_group_ready,wsm,101985.367602,101985.370999,0.003397
span,wsm.wait_group_ready,wsm,102039.679297,102039.686516,0.007219
span,wsm.wait_group_ready,wsm,102539.661499,102539.66529,0.003791
span,wsm.wait_group_ready,wsm,102594.282444,102594.289481,0.007037
span,wsm.wait_group_ready,wsm,103089.240294,103089.243436,0.003142
span,wsm.wait_group_ready,wsm,103401.410905,103401.416385,0.00548
span,wsm.wait_group_ready,wsm,103649.428226,103649.431726,0.0035
span,wsm.wait_group_ready,wsm,103703.494178,103703.501442,0.007264
span,wsm.wait_group_ready,wsm,104210.022267,104210.026225,0.003958
span,wsm.wait_group_ready,wsm,104263.037811,104263.045735,0.007924
span,wsm.wait_group_ready,wsm,104760.914971,104760.917936,0.002965
span,wsm.wait_group_ready,wsm,104810.279715,104810.283733,0.004018
